date,00300,00681,00915,00400,00930,80154,00600,00955,00010,00605,00410,00945,00440,00405,00095,00660,00950,71846,00940,00618,00665,70303,00925,00935
1981-05-14,9.9,,32.0,8.1,1.4,4.0,3.7,7.3,14.0,3.6,,0.7,,1.5,184.0,,0.0,0.06,0.8,,0.15,0.14,3.7,0.8
1981-06-18,9.2,,45.0,8.1,1.5,3.0,0.48,7.6,19.5,0.31,,0.3,,2.0,273.0,,0.0,0.0,1.2,,0.01,0.2,6.0,0.8
1981-07-14,6.9,,45.0,8.2,2.0,5.0,0.79,11.0,29.5,0.71,,0.9,,1.6,271.0,,0.0,0.01,12.0,,0.03,0.21,6.9,0.7
1981-08-12,10.2,,45.0,8.4,1.5,8.0,0.43,9.3,29.5,0.27,,3.0,,1.0,271.0,,0.0,0.19,1.6,,0.01,0.17,6.7,0.8
1981-09-16,8.2,,46.0,8.0,1.5,5.0,0.58,8.7,17.5,0.45,,5.0,,2.1,281.0,,0.0,0.12,13.0,,0.01,0.21,7.3,0.9
1981-10-28,9.8,1.5,48.0,8.2,1.5,19.0,0.4,7.2,10.0,0.23,,4.9,,1.9,305.0,,0.1,0.03,2.5,,0.02,0.23,7.1,1.0
1981-12-15,12.1,,48.0,7.8,1.4,13.0,0.32,5.5,8.0,0.24,,7.2,,4.6,300.0,,0.1,0.06,2.1,,0.01,0.25,7.1,0.7
1982-01-20,12.8,,49.0,,1.6,6.0,0.5,5.8,3.0,0.29,,6.4,,,295.0,,0.1,0.05,2.1,,0.02,0.23,7.4,0.7
1982-02-23,9.5,,36.0,8.2,0.9,4.0,3.1,5.6,11.0,3.0,,4.9,,1.3,235.0,,0.1,0.12,1.7,,0.01,0.19,4.8,0.7
1982-03-24,10.0,,41.0,8.0,1.4,5.0,,5.6,14.0,,,7.7,,2.3,249.0,,0.1,,1.9,,0.01,0.19,5.7,0.7
1982-05-04,9.8,6.6,46.0,,1.2,6.0,1.5,6.5,16.0,1.4,,8.0,,,,,0.1,0.05,1.8,,0.01,0.2,5.8,0.6
1982-05-26,8.3,,47.0,8.1,1.2,5.0,,7.3,18.5,,,6.0,,1.8,286.0,,0.1,0.08,1.5,,0.01,0.23,5.6,0.8
1982-06-29,9.5,,46.0,8.2,1.3,3.0,0.4,8.2,18.0,0.23,,6.0,,1.6,259.0,,0.1,0.08,2.1,,0.01,0.21,5.6,0.7
1982-07-22,6.8,,48.0,8.0,1.4,5.0,0.5,9.6,22.0,0.38,,5.0,,2.8,,,0.2,0.04,1.9,,0.02,0.22,6.7,0.6
1982-08-24,6.0,,44.0,8.2,1.5,6.0,0.2,9.2,28.0,0.06,,3.0,,1.9,,,0.1,0.05,1.6,,0.01,0.19,7.1,0.6
1982-10-06,8.2,,43.0,8.2,1.7,15.0,0.3,7.6,19.5,0.11,,5.0,,1.7,276.0,0.031,0.1,0.12,1.9,,0.01,0.19,7.4,0.3
1982-12-14,11.6,,40.0,7.9,1.0,5.0,0.41,7.2,6.0,0.26,,7.4,,3.1,253.0,0.031,0.1,0.05,1.9,,0.02,0.2,6.4,0.7
1983-02-03,12.3,,33.0,8.0,1.0,6.0,0.2,6.6,7.0,0.02,,8.2,,1.8,205.0,0.03,0.1,0.1,2.1,,0.02,0.15,4.0,0.7
1983-04-26,10.4,,38.0,8.4,1.1,2.0,0.2,6.7,16.0,0.05,,8.0,,0.8,228.0,0.031,0.1,0.064,1.5,,0.01,0.21,4.2,0.7
