date,00300_cd,00681_cd,00915_cd,00400_cd,00930_cd,80154_cd,00600_cd,00955_cd,00010_cd,00605_cd,00410_cd,00945_cd,00440_cd,00405_cd,00095_cd,00660_cd,00950_cd,71846_cd,00940_cd,00618_cd,00665_cd,70303_cd,00925_cd,00935_cd
1988-12-07,,,,,,,,,,<,,,,,,<,,<,,,<,,,
1989-03-01,,,,,,,<,,,<,,,,,,<,,<,,<,<,,,
1989-04-19,,,,,,,<,,,,,,,,,<,,,,<,<,,,
1989-06-14,,,,,,,<,,,,,,,,,<,,<,,<,,,,<
1989-08-30,,,,,,,<,,,<,,,,,,<,,<,,<,<,,,
1989-11-20,,,,,,,<,,,<,,,,,,<,<,,,<,<,,,
1989-12-11,,,,,,,<,,,<,,,,,,,,,,<,<,,,
1990-02-13,,,,,,,<,,,<,,,,,,<,<,,,<,,,,
1990-04-09,,,,,,,<,,,<,,,,,,<,,<,,<,<,,,
1990-06-27,,,,,,,<,,,<,,,,,,<,,<,,<,<,,,
1990-08-29,,,,,,,<,,,<,,,,,,,,,,<,<,,,
1990-10-26,,,,,,,<,,,<,,,,,,<,<,,,<,<,,,
1990-11-29,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-11,,,,,,,<,,,<,,,,,,<,,,,<,<,,,
1991-02-13,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1991-04-10,,,,,,,,,,<,,,,,,<,<,<,,,<,,,
1991-06-24,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1991-09-05,,,,,,,,,,<,,,,,,<,<,<,,,<,,,
1991-10-08,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1991-12-02,,,,,,,,,,,,,,,,<,,,,,,,,
1992-02-20,,,,,,,<,,,<,,,,,,<,,,,<,<,,,
1992-04-14,,,,,,,<,,,<,,,,,,,<,,,,<,,,
1992-06-03,,,,,,,<,,,<,,,,,,<,<,<,,,,,,
1992-08-25,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1992-11-17,,,,,,,<,,,<,,,,,,<,<,,,<,<,,,
1993-01-21,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1993-03-09,,,,,,,,,,,,,,,,<,<,,,,,,,
1993-04-30,,,,,,,,,,<,,,,,,<,<,<,,,<,,,
1993-05-27,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1993-06-30,,,,,,,<,,,<,,,,,,,<,,,,,,,
1993-07-22,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1993-08-25,,,,,,,<,,,<,,,,,,,<,,,<,<,,,
1993-09-23,,,,,,,<,,,<,,,,,,<,,,,,,,,
1993-10-20,,,,,,,<,,,<,,,,,,<,<,,,,,,,
1993-12-01,,,,,,,<,,,<,,,,,,<,<,,,,,,,
1993-12-15,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1994-01-12,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1994-02-15,,,,,,,<,,,<,,,,,,<,<,,,,,,,
1994-03-15,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1994-04-13,,,,,,,,,,,,,,,,,<,,,,,,,
1994-05-11,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1994-06-22,,,,,,,<,,,<,,,,,,<,<,,,<,<,,,
